Mes/Ano	Cores	RMAX(TFlops/s)	RPEAK(TFlops/s)	Power(KW)
jun-93	1024	0.1	0.1
nov-93	140	0.1	0.2
jun-94	3680	0.1	0.2
nov-94	140	0.2	0.2
jun-95	140	0.2	0.2
nov-95	140	0.2	0.2
jun-96	1024	0.2	0.3
nov-96	2048	0.4	0.6
jun-97	7264	1.1	1.5
nov-97	9152	1.3	1.8
jun-98	9152	1.3	1.8
nov-98	9152	1.3	1.8	
jun-99	9472	2.1	3.2
nov-99	9632	2.4	3.2
jun-00	9632	2.4	3.2
nov-00	8192	4.9	12.3
jun-01	8192	7.2	12.3
nov-01	8192	7.2	12.3
jun-02	5120	35.9	41	3200
nov-02	5120	35.9	41	3200
jun-03	5120	35.9	41	3200
nov-03	5120	35.9	41	3200
jun-04	5120	35.9	41	3200
nov-04	32768	70.7	91.8
jun-05	65536	136.8	183.5	716
nov-05	131072	280.6	367	1433
jun-06	131072	280.6	367	1433
nov-06	131072	280.6	367	1433
jun-07	131072	280.6	367	1433
nov-07	212992	478.2	596.4	2329
jun-08	122400	1026.00	1375.80	2345
nov-08	129600	1105.00	1456.70	2483
jun-09	129600	1105.00	1456.70	2483
nov-09	224162	1759.00	2331.00	6950
jun-10	224162	1759.00	2331.00	6950
nov-10	186368	2566.00	4701.00	4040
jun-11	548352	8162.00	8773.60	9899
nov-11	705024	10510.00	11280.40	12660
jun-12	1572864	16324.80	20132.70	7890
nov-12	560640	17590.00	27112.50	8209
jun-13	3120000	33862.70	54902.40	17808
nov-13	3120000	33862.70	54902.40	17808
jun-14	3120000	33862.70	54902.40	17808
nov-14	3120000	33862.70	54902.40	17808
jun-15	3120000	33862.70	54902.40	17808
nov-15	3120000	33862.70	54902.40	17808
jun-16	10649600	93014.60	125435.90	15371
